datetime;open;high;low;close;volume
2023-01-02 23:00:00+00:00;3869.0;3869.0;3862.75;3864.75;165
2023-01-02 23:01:00+00:00;3864.88;3866.13;3864.13;3864.75;114
2023-01-02 23:02:00+00:00;3864.75;3865.63;3864.13;3864.63;82
2023-01-02 23:03:00+00:00;3864.63;3864.63;3861.5;3862.38;48
2023-01-02 23:04:00+00:00;3862.13;3862.13;3859.5;3859.63;60
2023-01-02 23:05:00+00:00;3859.88;3863.13;3859.63;3862.88;53
2023-01-02 23:06:00+00:00;3862.88;3865.88;3862.88;3864.75;74
2023-01-02 23:07:00+00:00;3864.88;3866.13;3864.88;3866.13;49
2023-01-02 23:08:00+00:00;3866.13;3866.13;3862.38;3864.0;58
2023-01-02 23:09:00+00:00;3864.13;3864.13;3859.88;3860.88;38
2023-01-02 23:10:00+00:00;3860.88;3861.5;3855.0;3855.0;84
2023-01-02 23:11:00+00:00;3855.0;3855.88;3853.13;3853.25;101
2023-01-02 23:12:00+00:00;3853.38;3853.63;3851.88;3853.0;60
2023-01-02 23:13:00+00:00;3853.13;3854.13;3852.63;3852.88;59
2023-01-02 23:14:00+00:00;3852.88;3853.88;3852.38;3852.5;48
2023-01-02 23:15:00+00:00;3852.38;3853.25;3849.88;3850.0;57
2023-01-02 23:16:00+00:00;3849.88;3851.25;3849.88;3850.13;66
2023-01-02 23:17:00+00:00;3850.13;3851.63;3848.88;3850.63;52
2023-01-02 23:18:00+00:00;3850.63;3851.38;3849.63;3850.88;61
2023-01-02 23:19:00+00:00;3850.63;3851.38;3850.13;3850.13;27
2023-01-02 23:20:00+00:00;3850.13;3851.63;3849.75;3849.88;44
2023-01-02 23:21:00+00:00;3849.88;3849.88;3848.5;3848.63;39
2023-01-02 23:22:00+00:00;3848.38;3848.88;3847.13;3847.88;41
2023-01-02 23:23:00+00:00;3847.88;3848.63;3847.38;3848.38;43
2023-01-02 23:24:00+00:00;3848.13;3849.13;3847.88;3848.88;25
2023-01-02 23:25:00+00:00;3848.88;3849.88;3848.88;3849.38;39
2023-01-02 23:26:00+00:00;3849.38;3849.88;3849.13;3849.88;39
2023-01-02 23:27:00+00:00;3849.88;3850.13;3849.13;3849.63;27
2023-01-02 23:28:00+00:00;3849.63;3849.88;3849.0;3849.38;29
2023-01-02 23:29:00+00:00;3849.38;3849.38;3847.13;3847.38;34
2023-01-02 23:30:00+00:00;3847.38;3848.13;3847.13;3847.38;34
2023-01-02 23:31:00+00:00;3847.38;3848.13;3847.13;3847.13;46
2023-01-02 23:32:00+00:00;3847.25;3847.5;3847.13;3847.13;26
2023-01-02 23:33:00+00:00;3847.13;3847.63;3845.88;3847.13;38
2023-01-02 23:34:00+00:00;3846.88;3847.25;3846.38;3846.88;39
2023-01-02 23:35:00+00:00;3846.88;3846.88;3845.63;3845.63;30
2023-01-02 23:36:00+00:00;3845.63;3846.88;3845.63;3845.88;27
2023-01-02 23:37:00+00:00;3845.88;3846.13;3845.63;3846.13;30
2023-01-02 23:38:00+00:00;3845.88;3846.88;3845.88;3846.38;24
2023-01-02 23:39:00+00:00;3846.38;3847.38;3846.38;3847.13;28
2023-01-02 23:40:00+00:00;3847.13;3847.63;3846.63;3847.38;26
2023-01-02 23:41:00+00:00;3847.63;3847.88;3847.0;3847.38;21
2023-01-02 23:42:00+00:00;3847.38;3847.88;3847.38;3847.88;28
2023-01-02 23:43:00+00:00;3847.88;3848.13;3847.38;3847.63;17
2023-01-02 23:44:00+00:00;3847.63;3847.63;3847.13;3847.13;20
2023-01-02 23:45:00+00:00;3847.13;3847.63;3846.88;3847.13;25
2023-01-02 23:46:00+00:00;3846.88;3847.38;3846.38;3846.38;43
2023-01-02 23:47:00+00:00;3846.38;3846.75;3846.13;3846.13;26
2023-01-02 23:48:00+00:00;3846.13;3846.13;3845.13;3845.38;15
2023-01-02 23:49:00+00:00;3845.38;3845.88;3844.88;3845.75;26
2023-01-02 23:50:00+00:00;3845.63;3845.63;3845.13;3845.63;15
2023-01-02 23:51:00+00:00;3845.63;3846.38;3845.38;3845.38;28
2023-01-02 23:52:00+00:00;3845.38;3845.88;3844.88;3845.63;17
2023-01-02 23:53:00+00:00;3845.63;3845.63;3844.88;3844.88;10
2023-01-02 23:54:00+00:00;3845.13;3845.63;3845.13;3845.38;17
2023-01-02 23:55:00+00:00;3845.38;3846.63;3845.38;3846.38;23
2023-01-02 23:56:00+00:00;3846.38;3846.88;3846.38;3846.88;18
2023-01-02 23:57:00+00:00;3846.88;3846.88;3846.63;3846.88;14
2023-01-02 23:58:00+00:00;3846.88;3847.13;3846.63;3846.88;14
2023-01-02 23:59:00+00:00;3846.88;3847.63;3846.88;3847.38;19
2023-01-03 00:00:00+00:00;3847.38;3847.63;3846.38;3846.88;31
2023-01-03 00:01:00+00:00;3846.88;3847.13;3846.25;3846.88;24
2023-01-03 00:02:00+00:00;3846.63;3846.88;3845.63;3846.13;19
2023-01-03 00:03:00+00:00;3846.13;3846.38;3845.63;3845.63;9
2023-01-03 00:04:00+00:00;3845.63;3845.88;3845.13;3845.38;12
2023-01-03 00:05:00+00:00;3845.63;3846.13;3845.13;3845.13;31
2023-01-03 00:06:00+00:00;3845.13;3845.63;3844.88;3845.38;20
2023-01-03 00:07:00+00:00;3845.38;3845.88;3845.38;3845.63;12
2023-01-03 00:08:00+00:00;3845.63;3845.88;3845.38;3845.63;16
2023-01-03 00:09:00+00:00;3845.63;3845.88;3845.38;3845.63;15
2023-01-03 00:10:00+00:00;3845.63;3845.63;3843.63;3843.88;53
2023-01-03 00:11:00+00:00;3843.88;3844.38;3843.13;3843.13;45
2023-01-03 00:12:00+00:00;3843.13;3843.63;3840.63;3840.63;43
2023-01-03 00:13:00+00:00;3840.88;3841.63;3839.13;3839.13;89
2023-01-03 00:14:00+00:00;3839.13;3841.13;3839.13;3840.63;38
2023-01-03 00:15:00+00:00;3840.63;3840.88;3839.13;3840.13;59
2023-01-03 00:16:00+00:00;3840.38;3840.63;3839.75;3840.38;33
2023-01-03 00:17:00+00:00;3840.38;3841.88;3840.13;3841.63;24
2023-01-03 00:18:00+00:00;3841.63;3841.88;3840.88;3841.13;27
2023-01-03 00:19:00+00:00;3841.13;3841.88;3840.13;3841.63;29
2023-01-03 00:20:00+00:00;3841.63;3842.13;3840.88;3841.88;32
2023-01-03 00:21:00+00:00;3841.88;3842.38;3841.88;3842.13;16
2023-01-03 00:22:00+00:00;3842.25;3842.63;3841.63;3841.63;29
2023-01-03 00:23:00+00:00;3841.63;3842.38;3841.13;3841.88;42
2023-01-03 00:24:00+00:00;3841.88;3842.63;3841.38;3841.88;23
2023-01-03 00:25:00+00:00;3841.88;3841.88;3841.13;3841.13;22
2023-01-03 00:26:00+00:00;3841.13;3841.63;3841.13;3841.38;22
2023-01-03 00:27:00+00:00;3841.13;3841.38;3839.75;3840.13;18
2023-01-03 00:28:00+00:00;3840.13;3840.13;3839.13;3839.88;32
2023-01-03 00:29:00+00:00;3839.88;3840.13;3839.63;3839.63;18
2023-01-03 00:30:00+00:00;3839.63;3840.88;3839.63;3840.63;21
2023-01-03 00:31:00+00:00;3840.63;3840.88;3840.13;3840.38;21
2023-01-03 00:32:00+00:00;3840.38;3841.63;3840.38;3841.38;11
2023-01-03 00:33:00+00:00;3841.38;3842.13;3841.0;3842.13;30
2023-01-03 00:34:00+00:00;3842.0;3842.13;3841.5;3841.88;13
2023-01-03 00:35:00+00:00;3841.88;3842.38;3841.63;3842.13;19
2023-01-03 00:36:00+00:00;3842.13;3842.13;3841.38;3841.63;19
2023-01-03 00:37:00+00:00;3841.63;3842.63;3841.13;3842.25;27
2023-01-03 00:38:00+00:00;3842.25;3842.63;3841.63;3841.63;22
2023-01-03 00:39:00+00:00;3841.63;3842.13;3841.13;3841.38;16
2023-01-03 00:40:00+00:00;3841.38;3841.88;3841.25;3841.5;15
2023-01-03 00:41:00+00:00;3841.38;3841.88;3840.13;3840.88;22
2023-01-03 00:42:00+00:00;3841.13;3841.63;3840.63;3840.88;8
2023-01-03 00:43:00+00:00;3840.63;3841.13;3840.13;3840.63;31
2023-01-03 00:44:00+00:00;3840.63;3840.63;3839.38;3839.88;17
2023-01-03 00:45:00+00:00;3839.63;3839.88;3838.88;3838.88;20
2023-01-03 00:46:00+00:00;3838.88;3840.38;3838.63;3839.88;27
2023-01-03 00:47:00+00:00;3840.0;3840.88;3840.0;3840.88;16
